wkt_geom,id,join_segment_id,join_length,distance
Point (121.03416577143420341 14.55405520423662402),,1000124236,0.0029,3.85E-05
Point (121.03411703348452022 14.55410687098938993),,1000124236,0.0029,3.25E-05
Point (121.03408222066327937 14.55410687098938993),,1000124236,0.0029,5.52E-05
Point (121.03403116185884869 14.55408216080479278),,1000124236,0.0029,6.97E-05
Point (121.03401491587563044 14.5540192621406046),,1000124236,0.0029,3.26E-05
Point (121.03394993194268636 14.55397882727559455),,1000124236,0.0029,4.43E-05
Point (121.03396385707117133 14.55395411707666042),,1000124236,0.0029,1.65E-05
Point (121.0338338892052974 14.55391592858195438),,1000124236,0.0029,7.22E-05
Point (121.03386406031701483 14.55388447922840989),,1000124236,0.0029,2.87E-05
Point (121.03387334373600481 14.5538530298703872),,1000124236,0.0029,1.20E-06
Point (121.03378515125558579 14.55386426178448112),,1000124236,0.0029,6.48E-05
Point (121.0337897929651092 14.55382158050787389),,1000124236,0.0029,2.94E-05
Point (121.03372712988691262 14.55377216007202712),,1000124236,0.0029,3.25E-05
Point (121.03373177159640761 14.553817087741443),,1000124236,0.0029,6.37E-05
Point (121.0336899962109527 14.55382607327422839),,1000124236,0.0029,9.77E-05
Point (121.0336899962109527 14.55379013114089481),,1000124236,0.0029,7.03E-05
Point (121.03365054168023107 14.55379013114089481),,1000124236,0.0029,9.60E-05
Point (121.03364589997073608 14.55375868176942511),,1000124236,0.0029,7.51E-05
Point (121.03367142937295853 14.55374969623390413),,1000124236,0.0029,5.17E-05
Point (121.03365982509920684 14.55371375408812717),,1000124236,0.0029,3.19E-05
Point (121.03362501227802284 14.55371150770381661),,1000124236,0.0029,5.28E-05
Point (121.03359252031155791 14.55374520346599532),,1000124236,0.0029,9.95E-05
Point (121.03357627432831123 14.55370027578194936),,1000124236,0.0029,7.59E-05
